Time	ROI-2-_sig_410	ROI-2-_sig_470	Input_DIO-1-bpod
0:00:00:01.4613842	3.516086307	8.992386012	0
0:00:00:01.4947184	3.514629292	8.995201901	0
0:00:00:01.5280526	3.520396957	8.997051479	0
0:00:00:01.5613868	3.515467265	8.982579472	0
0:00:00:01.5947210	3.522797635	8.985365164	0
0:00:00:01.6280551	3.50926174	8.98368167	0
0:00:00:01.6613893	3.505215316	8.972123692	0
0:00:00:01.6947235	3.50193892	8.955198162	0
0:00:00:01.7280576	3.509110754	8.951355569	0
0:00:00:01.7613918	3.513096785	8.956874107	0
0:00:00:01.7947260	3.508280331	8.955983289	0
0:00:00:01.8280602	3.513028841	8.952223738	0
0:00:00:01.8613944	3.514953912	8.960709151	0
0:00:00:01.8947285	3.513715827	8.964378111	0
0:00:00:01.9280627	3.515119997	8.97817823	0
0:00:00:01.9613969	3.523009015	8.953227795	0
0:00:00:01.9947311	3.516946927	8.945837031	0
0:00:00:02.0280653	3.512523038	8.947656412	0
0:00:00:02.0613994	3.515965518	8.949120976	0
0:00:00:02.0947336	3.521250028	8.944727284	0
0:00:00:02.1280678	3.51983076	8.938718041	0
0:00:00:02.1614020	3.517626364	8.948464187	0
0:00:00:02.1947361	3.520019492	8.949566385	0
0:00:00:02.2280703	3.515505011	8.953831739	0
0:00:00:02.2614045	3.51821521	8.947671511	0
0:00:00:02.2947387	3.519815661	8.948381145	0
0:00:00:02.3280728	3.516222195	8.947399736	0
0:00:00:02.3614070	3.511669967	8.924162991	0
0:00:00:02.3947412	3.516169349	8.937698886	0
0:00:00:02.4280754	3.512560784	8.927771557	0
0:00:00:02.4614095	3.508650247	8.937623393	0
0:00:00:02.4947437	3.5075405	8.910393069	0
0:00:00:02.5280779	3.50592495	8.915307663	0
0:00:00:02.5614121	3.49870027	8.918886031	0
0:00:00:02.5947463	3.504113118	8.90208129	0
0:00:00:02.6280804	3.509563712	8.907048729	0
0:00:00:02.6614146	3.500179933	8.903153291	0
0:00:00:02.6947488	3.504618921	8.903319375	0
0:00:00:02.7280830	3.508355824	8.908528392	0
0:00:00:02.7614171	3.502225793	8.893686469	0
0:00:00:02.7947513	3.501516159	8.894667878	0
0:00:00:02.8280855	3.509163599	8.89669109	0
0:00:00:02.8614197	3.499575989	8.886416493	0
0:00:00:02.8947539	3.50085937	8.888681283	0
0:00:00:02.9280880	3.501206638	8.895989005	0
0:00:00:02.9614222	3.504935992	8.892946637	0
0:00:00:02.9947564	3.503078864	8.886008831	0
0:00:00:03.0280906	3.503161906	8.884710352	0
0:00:00:03.0614248	3.499538242	8.88052804	0
0:00:00:03.0947589	3.493544098	8.876760939	0
0:00:00:03.1280931	3.496594016	8.871801049	0
0:00:00:03.1614273	3.498390749	8.859473043	0
0:00:00:03.1947615	3.501433117	8.871310345	0
0:00:00:03.2280956	3.499606186	8.860537494	0
0:00:00:03.2614298	3.493498803	8.878852095	0
0:00:00:03.2947640	3.493800775	8.872465388	0
0:00:00:03.3280982	3.496239198	8.85756307	0
0:00:00:03.3614323	3.490101618	8.851546278	0
0:00:00:03.3947665	3.494132944	8.854150787	0
0:00:00:03.4281007	3.491460492	8.847884868	0
0:00:00:03.4614349	3.490433787	8.845287909	0
0:00:00:03.4947690	3.493695084	8.845612529	0
0:00:00:03.5281032	3.496035367	8.837398891	0
0:00:00:03.5614374	3.485534292	8.836598665	0
0:00:00:03.5947716	3.486508151	8.83191055	0
0:00:00:03.6281058	3.488267138	8.831925648	0
0:00:00:03.6614399	3.496080663	8.840010948	0
0:00:00:03.6947741	3.489950632	8.836953482	0
0:00:00:03.7281083	3.486259024	8.834530157	0
0:00:00:03.7614424	3.494827479	8.829419281	0
0:00:00:03.7947766	3.48942973	8.829585366	0
0:00:00:03.8281108	3.49287976	8.829155055	0
0:00:00:03.8614450	3.494404719	8.835413425	0
0:00:00:03.8947792	3.484462291	8.832144578	0
0:00:00:03.9281133	3.49180776	8.825191673	0
0:00:00:03.9614475	3.485149277	8.819975107	0
0:00:00:03.9947817	3.490177111	8.822217249	0
0:00:00:04.0281159	3.489663758	8.797946251	0
0:00:00:04.0614501	3.48457553	8.811066934	0
0:00:00:04.0947842	3.480438514	8.793288333	0
0:00:00:04.1281184	3.477947245	8.811716173	0
0:00:00:04.1614526	3.480430965	8.793620502	0
0:00:00:04.1947867	3.476233554	8.803109972	0
0:00:00:04.2281209	3.47714702	8.793763939	0
0:00:00:04.2614551	3.484416995	8.786720442	0
0:00:00:04.2947893	3.483133614	8.788456781	0
0:00:00:04.3281235	3.482023867	8.804008338	0
0:00:00:04.3614576	3.479313669	8.785270977	0
0:00:00:04.3947918	3.478981499	8.788637964	0
0:00:00:04.4281260	3.487323476	8.794813291	0
0:00:00:04.4614602	3.479827021	8.80269476	0
0:00:00:04.4947944	3.482944882	8.806280678	0
0:00:00:04.5281285	3.475840991	8.799486308	0
0:00:00:04.5614627	3.474738793	8.789257007	0
0:00:00:04.5947969	3.475795695	8.785588047	0
0:00:00:04.6281311	3.471568087	8.776634578	0
0:00:00:04.6614653	3.474821835	8.775170014	0
0:00:00:04.6947994	3.470080875	8.785406864	0
0:00:00:04.7281336	3.4751993	8.77704224	0
0:00:00:04.7614678	3.478558739	8.78232675	0
0:00:00:04.7948020	3.469137213	8.775283253	0
0:00:00:04.8281361	3.476512878	8.769545786	0
0:00:00:04.8614703	3.477592428	8.780567763	0
0:00:00:04.8948045	3.471228369	8.773101506	0
0:00:00:04.9281387	3.48145012	8.768587024	0
0:00:00:04.9614728	3.480166739	8.77553238	0
0:00:00:04.9948070	3.469635466	8.756462849	0
0:00:00:05.0281412	3.471605834	8.758795583	0
0:00:00:05.0614754	3.468729551	8.753631862	0
0:00:00:05.0948096	3.471364256	8.749811916	0
0:00:00:05.1281437	3.463512984	8.751721889	0
0:00:00:05.1614779	3.474149948	8.752907129	0
0:00:00:05.1948121	3.462637266	8.741673771	0
0:00:00:05.2281463	3.467234789	8.738948474	0
0:00:00:05.2614804	3.462969435	8.746097661	0
0:00:00:05.2948146	3.466789381	8.72821337	0
0:00:00:05.3281488	3.468329438	8.732025766	0
0:00:00:05.3614830	3.465083239	8.734871852	0
0:00:00:05.3948171	3.463792309	8.727601877	0
0:00:00:05.4281513	3.460908476	8.738276586	0
0:00:00:05.4614855	3.462954336	8.724853932	0
0:00:00:05.4948197	3.461263293	8.71064615	0
0:00:00:05.5281539	3.462025772	8.721200071	0
0:00:00:05.5614880	3.453698895	8.712571221	0
0:00:00:05.5948222	3.46194273	8.713824405	0
0:00:00:05.6281564	3.457949151	8.727511285	0
0:00:00:05.6614905	3.455548473	8.707150824	0
0:00:00:05.6948247	3.459028701	8.723412015	0
0:00:00:05.7281589	3.452694838	8.716323223	0
0:00:00:05.7614931	3.45946656	8.718988126	0
0:00:00:05.7948273	3.452868472	8.696008058	0
0:00:00:05.8281614	3.451230274	8.704659555	0
0:00:00:05.8614956	3.458130334	8.702953413	0
0:00:00:05.8948298	3.455767403	8.7154928	0
0:00:00:05.9281640	3.461391631	8.702243779	0
0:00:00:05.9614982	3.455488079	8.712231503	0
0:00:00:05.9948323	3.452876021	8.703949921	0
0:00:00:06.0281665	3.449644921	8.680864163	0
0:00:00:06.0615007	3.451637936	8.698688059	0
0:00:00:06.0948349	3.456514784	8.699473186	0
0:00:00:06.1281690	3.456167516	8.697631157	0
0:00:00:06.1615032	3.451411457	8.688707885	0
0:00:00:06.1948374	3.455623966	8.697955777	0
0:00:00:06.2281716	3.455435234	8.698348341	0
0:00:00:06.2615057	3.457435798	8.703376174	0
0:00:00:06.2948399	3.454114106	8.693962198	0
0:00:00:06.3281741	3.445975961	8.676009963	0
0:00:00:06.3615083	3.4520305	8.681709684	0
0:00:00:06.3948425	3.444232073	8.685401292	0
0:00:00:06.4281766	3.4423221	8.682177741	0
0:00:00:06.4615108	3.450203569	8.684072615	0
0:00:00:06.4948450	3.450158273	8.680373458	0
0:00:00:06.5281792	3.447697202	8.672325905	0
0:00:00:06.5615133	3.448535174	8.670431031	0
0:00:00:06.5948475	3.444949257	8.676274188	0
0:00:00:06.6281817	3.45429529	8.683612108	0
0:00:00:06.6615159	3.448671061	8.678403091	0
0:00:00:06.6948500	3.455873093	8.676870583	0
