Time,ROI-1-_sig_410,ROI-1-_sig_470,ROI-2-_sig_410,ROI-2-_sig_470,Input_DIO-1-bpod,
0:00:00:02.9313524,1.1888726923122912,3.2036967512367958,2.1857789218741384,5.362056153672412,0,
0:00:00:02.9646866,1.1855094098507326,3.206079643669074,2.1829630331085386,5.360659533239071,0,
0:00:00:02.9980208,1.1861221536190327,3.2111449921536885,2.183038526104936,5.35999519487078,0,
0:00:00:03.0313550,1.186312785013615,3.2141950944670046,2.187281232502434,5.365317451116751,0,
0:00:00:03.0646891,1.1890360906505046,3.212193464823891,2.1871528944085594,5.361414463203039,0,
0:00:00:03.0980233,1.1856183420762083,3.217340512477612,2.1854920484878306,5.366532888358739,0,
0:00:00:03.1313575,1.1885867452204177,3.224230475738943,2.1851372314047657,5.377766246222579,0,
0:00:00:03.1646917,1.1878106031139042,3.219587239628046,2.190451938351098,5.38028016300259,0,
0:00:00:03.1980259,1.1880012345084865,3.223004988202342,2.181838187462227,5.376618752677348,0,
0:00:00:03.2313600,1.1892403385732713,3.22749844250321,2.1875756551883816,5.383949122627474,0,
0:00:00:03.2646942,1.1897713831724648,3.2277843895950835,2.1847446678235025,5.390033858137053,0,
0:00:00:03.2980284,1.192944034239441,3.2266542177557738,2.1858166683723366,5.38451532010045,0,
0:00:00:03.3313626,1.1867348973873328,3.2330948355870177,2.1857638232748586,5.390735943003543,0,
0:00:00:03.3646968,1.186952761838284,3.221929282475771,2.185718527477021,5.377011316258611,0,
0:00:00:03.3980309,1.1866804312745953,3.2190698115570364,2.1857487246755793,5.386712166295595,0,
0:00:00:03.4313651,1.1905883748635315,3.2127108928948998,2.1884136274483854,5.37773604902402,0,
0:00:00:03.4646993,1.1882054824312533,3.207250665092937,2.1851221328054864,5.374240723290849,0,
0:00:00:03.4980334,1.1906428409762693,3.1996934919505677,2.1937585315932764,5.369439368720015,0,
0:00:00:03.5313676,1.1902751947152892,3.1930350096683737,2.1904443890514584,5.367650184705411,0,
0:00:00:03.5647018,1.1845562528778213,3.1905431850106196,2.18644326024243,5.3607878713329455,0,
0:00:00:03.5980360,1.1856591916607615,3.1781657608909564,2.187100049311082,5.344451186912685,0,
0:00:00:03.6313701,1.1863536345981684,3.171166865404151,2.184925851014855,5.352596881223897,0,
0:00:00:03.6647043,1.1894309699678534,3.1636096922617822,2.184148273151968,5.338864705179325,0,
0:00:00:03.6980385,1.1876744378320598,3.1584626446080613,2.1900669240694746,5.335301435749398,0,
0:00:00:03.7313727,1.182541006706523,3.149271488083559,2.182449680733041,5.329095911445584,0,
0:00:00:03.7647069,1.1835213967358034,3.1347698855671227,2.1788637634041943,5.323275401423392,0,
0:00:00:03.7980411,1.1817240150154562,3.135913673934616,2.182494976530879,5.322943232239246,0,
0:00:00:03.8313752,1.1836711785458323,3.1289692445605484,2.1797319328627576,5.320051850477251,0,
0:00:00:03.8647094,1.1844473206523458,3.1216163193409465,2.177844607952838,5.314314382751096,0,
0:00:00:03.8980436,1.1848013503851416,3.1138004321630737,2.1827139062204295,5.315665707386598,0,
0:00:00:03.9313777,1.1833171488130365,3.1279207718903455,2.1758515928479634,5.30957342257738,0,
0:00:00:03.9647119,1.1777071392010443,3.112139215724571,2.1802452852382554,5.3113701558916215,0,
0:00:00:03.9980461,1.1812202034726318,3.1120302834990956,2.178871312703834,5.313959565668031,0,
0:00:00:04.0313803,1.1800764151051382,3.102280849319031,2.179180833989061,5.317666271791112,0,
0:00:00:04.0647145,1.1764952681926284,3.094546661310265,2.179747031462037,5.314676749133801,0,
0:00:00:04.0980486,1.1829358860238721,3.09774654543361,2.181792891664389,5.312502550837574,0,
0:00:00:04.1313828,1.1927397863166742,3.1612404163576886,2.1769160440971578,5.314269086953258,0,
0:00:00:04.1647170,1.1852643123434126,3.1245302563724184,2.1759044379454413,5.310169817248914,0,
0:00:00:04.1980512,1.1794772878650224,3.148835759181657,2.173466014161826,5.316647116339756,0,
0:00:00:04.2313853,1.2043683013861923,3.1539964233635627,2.1713748581616352,5.308365534635031,0,
0:00:00:04.2647195,1.1970562257511441,3.186553542252576,2.171148379172445,5.305942209450695,0,
0:00:00:04.2980537,1.1931074325776543,3.156964826507772,2.1759799309418377,5.298121135023989,0,
0:00:00:04.3313879,1.1846924181596659,3.1501974120001015,2.178078636241668,5.301684404453917,0,
0:00:00:04.3647220,1.2066014120084418,3.1722425711307225,2.180403820530689,5.306893421205294,0,
0:00:00:04.3980562,1.212973947198763,3.2002109200215774,2.1832197092962877,5.304802265205104,0,
0:00:00:04.4313904,1.1986765926050933,3.1838574696720556,2.1784636505232915,5.300710544800399,0,
0:00:00:04.4647246,1.1998612305571401,3.156134218288521,2.1794979045739273,5.303669870259152,0,
0:00:00:04.4980588,1.1972196240893576,3.1471881592713387,2.1829479345092593,5.302884743096626,0,
0:00:00:04.5313929,1.1989353066405979,3.133544398030523,2.177248213281304,5.289560229232596,0,
0:00:00:04.5647271,1.196320933229184,3.1316925501974375,2.180162242942219,5.282086422589317,0,
0:00:00:04.5980613,1.190942404596327,3.1227737242366245,2.185431654090713,5.286751889766637,0,
0:00:00:04.6313955,1.1875791221347687,3.1193151260777747,2.176651818609769,5.285113691744827,0,
0:00:00:04.6647296,1.1893901203833002,3.1158701444471095,2.1786674816135627,5.283709522011847,0,
0:00:00:04.6980638,1.1883144146567288,3.10650197305621,2.1785617914186073,5.277353011715239,0,
0:00:00:04.7313980,1.18902247412232,3.11008311996872,2.180086749945822,5.274665461043514,0,
0:00:00:04.7647322,1.1838345768840457,3.0973925157008146,2.1783957068265343,5.2698037120755625,0,
0:00:00:04.7980664,1.1896760674751736,3.099394145343928,2.1797772286605954,5.2728234319314335,0,
0:00:00:04.8314005,1.1876880543602442,3.0981550412791434,2.1769537905953564,5.281082365737239,0,
0:00:00:04.8647347,1.1861357701472173,3.09208206970888,2.177421847173016,5.276235715368568,0,
0:00:00:04.8980689,1.1884505799385734,3.0805897199212064,2.182683709021871,5.282773408856527,0,
